sensor_081,sensor_486,sensor_171,sensor_239,sensor_291,sensor_278,sensor_589,sensor_392,sensor_363,sensor_435,sensor_577,sensor_335,sensor_497,sensor_588,sensor_500,sensor_273,sensor_564,sensor_565,sensor_168,sensor_216,sensor_107,sensor_167,sensor_272,sensor_558,sensor_470,sensor_101,sensor_439,sensor_526,sensor_102,sensor_105,sensor_204,sensor_305,sensor_573,sensor_409,sensor_570,sensor_524,sensor_433,sensor_157,sensor_567,sensor_079,sensor_031,sensor_217,sensor_093,sensor_528,sensor_572,sensor_418,sensor_461,sensor_220,sensor_468,sensor_075,sensor_319,sensor_197,sensor_203,sensor_490,sensor_352,sensor_172,sensor_218,sensor_186,sensor_092,sensor_304,sensor_299,sensor_163,sensor_360,sensor_342,sensor_576,sensor_351,sensor_421,sensor_104,sensor_229,sensor_025,sensor_521,sensor_540,sensor_556,sensor_189,sensor_162,sensor_082,sensor_338,sensor_077,sensor_333,sensor_080,sensor_228,sensor_154,sensor_547,sensor_099,sensor_145,sensor_391,sensor_485,sensor_512,sensor_060,sensor_165,sensor_175,sensor_024,sensor_096,sensor_489,sensor_322,sensor_345,sensor_422,sensor_109,sensor_177,sensor_541,sensor_412,sensor_473,sensor_590,sensor_005,sensor_495,sensor_176,sensor_449,sensor_169,sensor_286,sensor_103,sensor_166,sensor_041,sensor_472,sensor_523,sensor_477,sensor_488,sensor_349,sensor_226,sensor_483,sensor_414,sensor_388,sensor_144,sensor_141,sensor_320,sensor_407,sensor_072,sensor_181,sensor_126,sensor_553,sensor_357,sensor_211,sensor_287,sensor_587,sensor_095,sensor_288,sensor_318,sensor_367,sensor_115,sensor_297,sensor_339,sensor_353,sensor_366,sensor_480,sensor_065,sensor_015,sensor_443,sensor_298,sensor_097,sensor_274,sensor_527,sensor_522,sensor_137,sensor_432,sensor_389,sensor_156,sensor_457,sensor_425,sensor_419,sensor_420,sensor_584,sensor_321,sensor_332,sensor_555,sensor_222,sensor_501,sensor_292,sensor_090,sensor_336,sensor_160,sensor_296,sensor_478,sensor_358,sensor_151,sensor_484,sensor_303,sensor_364,sensor_042,sensor_240,sensor_437,sensor_083,sensor_413,sensor_416,sensor_487,sensor_475,sensor_212,sensor_325,sensor_188,sensor_550,sensor_224,sensor_368,sensor_140,sensor_128,sensor_575,sensor_491,sensor_454,sensor_271,sensor_147,sensor_011,sensor_568,sensor_377,sensor_201,sensor_215,sensor_511,sensor_440,sensor_302,sensor_585,sensor_445,sensor_282,sensor_474,sensor_481,sensor_566,sensor_068,sensor_554,sensor_354,sensor_052,sensor_431,sensor_152,sensor_004,sensor_223,sensor_424,sensor_574,sensor_076,sensor_469,sensor_209,sensor_434,sensor_108,sensor_281,sensor_411,sensor_064,sensor_426,sensor_130,sensor_010,sensor_275,sensor_280,sensor_369,sensor_561,sensor_562,sensor_546,sensor_408,sensor_279,sensor_362,sensor_378,sensor_542,sensor_436,sensor_202,sensor_078,sensor_146,sensor_225,sensor_578,sensor_387,label
-0.0026,178.1759,0.725,0.0027,0.1077,2.5883,0.005283333333333334,0.0082,0.0105,10.0503,1.6765,0.0913,17.1202,0.016474904214559386,0.0,22.9057,0.6796407264296753,6.44498454404946,0.9,0.052,0.0,2.0,33.9606,1.0297,5.7277,0.0002,44.5055,3.1406,0.0002,0.0003,16.23,0.0174,8.95,5.6188,21.11767403400309,0.1094,26.3617,0.0506,2.610869629057187,-0.0307,0.1632,0.0301,-0.0055,6.6926,2.1113,5.9846,29.9394,0.001,6.2052,0.0,3.8208,5.38,4.04,0.0,0.0238,0.1139,0.1135,5.72,0.0001,0.02,0.0373,368.0,0.0229,2.8551,0.1026,0.0315,3.4641,-0.0042,0.0155,751.0,1.9864,2.057,39.8842,65.363,1066.0,-0.0567,1.5989,-0.0206,1.5989,-0.0083,0.0165,0.0167,1.0616,0.3974,0.0898,0.9967,494.6996,0.0,-1.7264,0.048,0.3184,-4043.75,0.0003,53.1098,1.6252,31.8843,6.0544,-0.010788597053171044,0.3979,4.0825,2.1118,63.7987,99.67006634738186,1.3602,2.1739,0.9499,0.1362,0.069,1.5123,0.135,0.095,61.29,9.7752,29.3804,31.9893,0.0,0.0215,1940.3994,613.3069,29.0271,0.0,0.0034,0.3948,5.3737,14.2396,84.0793,20.95,0.8656,0.1827,1.2708,0.0772,3.5811,0.021458429118773943,0.0001,0.1337,0.1181,0.0043,0.0,496.1582,1.2293,0.0206,0.0046,1.6936,21.7264,7.9558,1.1975,158.333,-0.2786,15.9525,0.5064,0.0,111.3,33.1562,61.5932,0.41,6.1463,2.4788,525.0965,0.0,0.0118,0.0254,0.0752,0.3363,0.0707,0.0,0.0167,0.1841,3.0911,1017.0,398.3185,5.8142,0.0004,4.271,291.4842,0.3032,560.2658,4.515,0.004,3.1158,-0.0044,24.8504,6.9458,843.1138,13.6778,0.0599,18.0118,11.19,0.4234,175.2173,0.0032,350.671,0.4098,3.0624,48.2091,3.2698,30.9815,0.0358,-0.0034,0.06008639876352396,0.001,10.3,0.0704,64.6707,42.2737,0.6083,0.0035,0.9163,0.012,24.7625,115.7408,0.1456095054095827,0.9226,5.7349,0.0238,218.3174,18.7673,10.284,1411.1265,0.0211,53.684,0.3157,0.0126,311.6377,97.314,49.0013,-0.2468,0.0197,2.9329,16.1445,4.7141,-0.0473,0.0162,110.2144,0.0319,0.0028,0.1039,42.3877,7.116,1.4392,0.001,55.2039,0.0013,11.5074,2.7073,5.38,0.0141,0.085,0.0315,14.9509,0.0055,0
-0.012,359.0444,1.0498,0.0064,0.1,1.8459,0.006,0.0068,0.0069,8.6336,1.1065,0.0878,12.6788,0.0201,0.0,22.3163,0.6796407264296753,6.44498454404946,1.1,0.0987,0.0,2.2,28.9862,1.7819,5.5652,-0.0004,48.5294,3.131,-0.0004,0.0002,15.078,0.1822,5.92,4.3465,21.11767403400309,0.0673,8.4887,0.0437,2.610869629057187,-0.044,0.2102,0.0734,-0.0015,8.837,2.4335,9.0604,40.4475,0.005,4.7415,0.0,2.9939,3.74,3.659,0.0,0.0729,0.1917,0.0747,6.92,0.1455,0.0291,0.0502,3277.0,0.0248,2.4278,0.0772,0.019,2.1196,-0.0045,0.0236,-1640.25,1.6292,1.791,53.1836,82.986,297.0,-0.0377,1.1506,-0.0198,1.1506,-0.0358,0.0203,0.0144,1.3526,-0.9353,0.1356,1.1655,0.0,0.0,0.8073,0.115,0.4115,-3498.75,0.0001,194.4371,1.8045,41.708,6.1491,-0.0903,0.2315,2.9799,2.5197,73.5536,208.2045,0.8294,0.1441,1.0181,0.2751,0.079,2.1016,-0.0752,0.124,78.25,10.2211,26.397,30.8643,820.79,0.0142,1988.0,0.0,27.7464,0.0,0.0049,0.2301,5.2445,10.5837,82.3494,17.99,0.8703,0.2829,1.2474,0.0566,3.9483,0.0096,-0.0005,0.1662,0.1417,0.0059,0.0,139.2082,1.1265,0.0143,0.0053,1.2928,19.1927,10.1548,1.9562,1529.7622,0.5854,17.4008,0.8832,0.0,80.3,2.2655,65.0999,0.35,6.9233,3.1531,0.0,368.9713,0.0223,0.0264,0.0778,0.4989,0.0761,0.0,0.0139,0.1874,3.3604,568.0,26.5879,5.8042,0.0017,6.285,246.7762,0.3464,677.1873,2.773,0.0036,1.6779,0.0017,15.015,5.5695,130.635,13.243,0.0488,23.623,9.05,0.7193,128.4285,0.0081,219.7679,0.4138,2.0111,58.1666,4.3737,29.0598,0.0547,-0.0148,0.06008639876352396,0.0022,8.02,0.0468,141.4365,37.5793,0.8151,0.0055,1.0239,0.0154,19.4865,163.0249,0.1456095054095827,1.1598,7.1196,0.0513,205.1695,10.4383,13.077,1463.6606,0.0014,61.8918,0.2653,-0.0039,463.2883,134.25,199.7866,0.0772,0.0171,3.2858,10.9036,6.1188,-0.0946,-0.0005,83.5542,0.044,0.0033,0.0375,18.1087,7.116,1.0323,0.0012,46.3453,0.0013,9.5796,5.7093,3.74,0.0004,0.06,0.0238,10.9003,0.0049,0
-0.1134,190.3869,1.0824,0.0062,0.1185,2.5274,0.0046,0.019,0.0092,14.2503,2.0952,0.2777,18.9849,0.0148,0.0,32.6256,0.9032,1.1,1.4,0.084,0.0013,2.1,41.3837,1.1386,5.4178,0.0006,60.0,12.1831,-0.0001,-0.0016,22.624,0.1041,11.21,4.0782,20.1824,0.0751,18.7546,0.0497,0.4122,0.0213,0.1734,0.0349,0.0006,6.4568,2.0293,5.2231,32.3594,0.0014,3.0301,0.0,3.8541,5.09,11.059,250.1742,0.0171,0.0369,0.0718,9.21,0.0553,0.0416,0.08,2100.0,0.0302,3.7663,0.064,0.0327,2.2943,-0.0026,0.017,-1916.5,2.9626,2.1538,23.0713,60.11,759.0,-0.0182,1.5481,-0.0326,1.5481,-0.0054,0.0192,0.0177,0.7942,-0.1427,0.0754,1.2356,0.0,244.2748,23.8245,0.117,0.3141,-4047.0,0.0002,191.7582,2.568,24.7959,4.0917,-0.0728,0.2706,2.9667,2.0627,148.0287,82.8602,1.5102,1.5357,0.9677,0.2748,0.123,1.5306,0.0134,0.068,14.37,8.3977,14.5293,13.3923,74.0741,0.0105,839.6006,434.2674,21.6062,0.0,0.0038,0.3263,6.1797,11.4871,84.7681,17.78,0.8798,0.0857,0.7786,0.0339,2.5493,0.0584,0.0,0.1479,0.2682,0.0043,0.0,325.0672,2.9844,0.0116,0.0054,2.6727,16.1755,9.5157,0.4264,902.4576,-0.1343,15.7716,0.6451,0.0,126.4,29.1663,28.7334,0.47,15.079,2.0261,0.0,0.0,0.0157,0.0546,0.0243,0.3752,0.0963,0.0,0.0167,0.1497,3.16,562.0,329.6406,9.1221,0.0005,4.819,151.7665,0.4031,283.6616,5.434,0.004,0.8972,0.0287,18.0233,8.7236,746.915,45.5423,0.0494,16.0104,17.87,0.1832,182.4956,0.003,306.038,0.4777,4.0923,34.1573,7.5418,23.551,0.0619,0.0013,0.0574,0.0021,16.73,0.0401,47.0588,70.9161,0.6964,0.0039,0.8973,0.0157,31.4674,93.9245,0.1428,0.8694,7.1619,0.0428,185.7574,10.3162,8.443,1698.0172,0.0152,50.6425,0.1882,-0.0078,21.3645,79.618,109.5747,-0.0301,0.0152,3.7696,11.3019,5.2707,-0.1892,0.0041,97.3868,0.0249,0.0037,0.1233,24.7524,7.116,1.1798,0.0012,58.0575,0.0015,9.3046,5.765,5.09,-0.0052,0.0483,0.0284,9.2721,0.01,1
-0.1051,88.5553,0.9386,0.0067,0.0916,2.1775,0.0044,0.0132,0.0188,5.176,1.7585,0.3512,29.2542,0.0149,0.0,44.3906,0.6511,7.32,0.9,0.0754,0.0021,1.7,37.8477,1.6230700076511093,6.5291,-0.0002,34.0336,6.7553,0.0,0.0003,24.32,0.0824,9.33,5.6363,25.0363,0.0977,76.0354,0.0699,3.5611,0.04,0.2071,0.0643,-0.0003,6.4865,2.0253,7.6602,27.6824,0.0023,3.0301,0.0,4.19,5.92,11.382,336.766,0.0167,0.0356,0.0932,5.69,0.0697,0.0286,0.0285,3004.0,0.0252,3.0229,0.0525,0.0531,1.9689,-0.0059,0.0149,-1657.25,2.4416,2.1565,57.746537184391734,52.571,3433.0,0.0028,1.7317,-0.0461,1.7317,0.0676,0.0152,0.015,1.165,0.0177,0.114,1.1135,305.75,0.0,24.3791,0.108,0.2618,-4515.0,0.0002,0.0,1.7339,29.0339,6.5718,-0.118,0.2452,3.2465,2.1737,100.0021,73.8432,1.3204,0.1488,0.8567,0.3332,0.086,2.896,-0.0699,0.1,76.9,9.1494,13.2699,35.4323,71.7583,0.0407,820.3999,225.0169,14.5054,0.0,0.003,0.1915,6.3329,13.3972,70.2289,16.22,1.366,0.6812,1.8222,0.1248,4.0526,0.0202,-0.0001,0.3882,0.2004,0.0049,0.0,1572.6896,3.0672,0.0224,0.0046,3.5135,15.6209,9.6052,0.4097,1377.4276,0.0411,16.9347,0.7404,0.0,118.0,13.4051,32.4228,0.35,13.7105,3.6091,317.7362,0.0,0.0103,0.0479,0.0243,0.5036574598316756,0.0764,711.6418,0.0245,0.1958,3.2699,859.0,157.0889,6.4746,0.0006,9.073,100.4883,0.3046,309.8492,1.279,0.004,1.3671,0.0277,17.8537,5.286,104.666,48.4887,0.0463,15.7375,18.2,1.8804,152.0885,0.0028,162.432,0.5176,2.8971,72.9635,6.9785,33.896,0.0613,-0.0033,0.067,0.0024,13.56,0.0708,113.5593,41.5236,0.6305,0.0025,0.6849,0.0172,37.8979,149.4399,0.163,0.9761,7.703873527161439,0.0422,189.9079,15.7089,15.241,909.7926,0.0015,94.4594,0.1738,-0.0555,24.2831,104.95,181.2641,-0.0483,0.0115,4.9881,13.5597,13.442,0.2838,-0.0124,50.3631,0.0417,0.0034,0.0592,62.7572,7.116,1.1907,0.0007,45.7058,0.0014,7.7754,5.3899,5.92,-0.04,0.0393,0.0573,8.5831,0.0068,0
-0.0178,240.1781,0.576,0.0067,0.1275,1.0929,0.0044,0.0065,0.0573,11.4064,1.6597,0.1773,22.5456,0.0149,293.1396,53.0876,0.6796407264296753,6.44498454404946,0.8,0.1047,0.0,3.9,55.9626,2.5014,4.4384,0.0004,25.3521,2.9954,-0.0003,0.0002,33.832,0.1541,8.83,5.3823,21.11767403400309,0.0616,43.8119,0.0538,2.610869629057187,-0.0449,0.2696,0.0924,-0.0077,6.3745,2.0275,4.2178,30.8924,0.003,5.3863,0.0,2.913,5.52,8.446,0.0,0.0522,0.0631,0.1015,3.98,0.0448,0.032,0.0755,1443.0,0.0286,3.0939,0.0706,0.0329,2.5046,-0.0045,0.0272,117.0,2.5512,2.0579,70.9706,72.149,1747.0,-0.0123,1.6216,0.0183,1.6216,0.0034,0.0227,0.0126,1.4636,-0.6704,0.0634,0.8495,461.8619,0.0,-12.2945,0.04,0.3053,-3987.5,-0.0001,748.1781,1.1229,32.0537,7.0492,-0.2038,0.1308,1.9999,2.185,89.9529,73.8432,1.5334,0.0372,0.8285,0.7592,0.101,3.2376,0.0696,0.113,76.39,7.4365,18.7319,42.6838,587.3773,0.0246,1406.4004,171.4486,24.4142,0.0,0.0041,0.3744,11.0583,7.1493,65.8417,15.24,0.946,0.4287,1.553,0.0915,3.6536,0.0202,-0.0001,0.1293,0.0766,0.0077,0.0,799.5884,2.5923,0.0256,0.0063,3.0615,32.2945,10.5661,0.7198,628.3083,0.2189,17.4864,2.2181,0.0,143.2,10.739,57.2692,0.43,11.4945,2.9734,0.0,866.0295,0.0138,0.0327,0.0822,0.8311,0.0802,0.0,0.0181,0.1829,3.155,699.0,128.0296,6.1979,0.001,9.005,276.881,0.2698,494.7368,2.209,0.0031,1.5533,-0.0048,22.3369,3.6256,0.0,19.1303,0.0506,23.116,25.54,1.0388,69.151,0.0052,296.303,0.5328,3.1776,55.1057,2.7092,34.125,0.0623,-0.0072,0.06008639876352396,0.0025,19.77,0.0797,148.0663,37.4691,1.35,0.0036,0.9088,0.0163,17.0927,140.1953,0.1456095054095827,0.9256,9.7608,0.0545,233.5491,12.7642,12.506,1326.52,0.0004,85.2255,0.2224,-0.0534,44.898,92.307,0.0,-0.0799,0.0116,4.9184,21.9782,4.2892,-0.5677,-0.0031,88.7672,0.0257,0.0027,0.0461,22.05,7.116,1.1704,0.0013,21.0312,0.0012,9.4805,2.0088,5.52,-0.0167,0.0451,0.197,10.9698,0.0089,0
-0.0853,826.936,0.6308,0.0036,0.1275,1.0929,0.0052,0.0077,0.0092,7.2788,1.6679,0.3364,14.7656,0.0151,0.0,36.4696,0.8444,4.75,0.9,0.0668,0.0004,1.7,52.6671,2.0541,6.7233,-0.0002,55.102,4.406,-0.0001,0.0006,34.8069,0.0439,8.91,5.4262,22.5598,0.0706,8.2683,0.0511,1.8784,-0.0074,0.1394,0.0803,0.0009,7.097,2.3236,4.638,42.8261,0.003,5.2729,0.0,3.8197,6.61,9.679,273.8095,0.0277,0.1125,0.0575,7.92,-0.113,0.0405,0.0279,1157.0,0.0227,3.7242,0.0899,0.041,1.4577,-0.0052,0.019,193.75,2.1027,1.791,86.9463,82.556,323.0,-0.0111,1.9589,-0.055,1.9589,-0.0026,0.0362,0.0106,1.2708,-0.224,0.0709,0.923,0.0,622.2222,28.2955,0.036,0.3824,-3906.5,0.0001,723.4234,2.3901,33.4938,6.1687,0.1324,0.2789,2.9799,2.185,137.8884057051282,44.0077,1.5334,0.2873,0.7408,0.1864,0.106,1.4873,0.0265,0.045,59.94,9.0384,21.157,56.539,78.3348,0.0166,1132.2998,325.3468,24.4142,0.0,0.0041,0.3744,10.178,10.5837,70.3707,19.7,0.8703,0.5329,0.969,0.0645,3.1727,0.0342,-0.0002,0.1614,0.1505,0.0048,0.0,152.4347,2.6806,0.0148,0.0095,5.506,11.7045,8.6617,3.2918,478.1502,0.1925,17.4864,2.9077,0.0,159.8,30.8083,58.2605,0.45,13.0665,2.5154,347.774,865.1584,0.0189,0.0453,0.0789,0.6268,0.0662,0.0,0.0176,0.2099,3.3583,2089.0,384.6101,8.5143,0.0009,5.369,71.0586,0.3162,335.5983,3.024,0.0035,1.4752,0.021,22.3369,3.6256,0.0,52.6935,0.0391,25.2892,21.62,1.105,129.1731,0.0033,296.303,0.4138,2.2598,42.6594,4.9282,32.0878,0.0478,0.0055,0.0743,0.0013,21.78,0.0494,68.7351,76.0159,0.632,0.0044,0.8812,0.0155,56.4737,159.0889,0.1905,0.9227,7.2448,0.0315,192.7702,34.4833,10.42,1326.52,0.0028,61.9853,0.3201,0.0198,23.3606,111.952,597.1613,-0.2601,0.0155,4.9037,7.618,6.0186,-0.0946,0.0167,88.7672,0.0226,0.0027,0.0604,30.6277,7.116,1.0323,0.0013,42.1498,0.0011,9.5796,2.0253,6.61,-0.001,0.0581,0.031,13.7755,0.0078,0
-0.0022,189.4602,0.5811,0.0067,0.1,1.8459,0.0052,0.01,0.0293,8.6069,1.1958,0.0725,41.0596,0.0151,0.0,40.5089,0.6796407264296753,6.44498454404946,0.6,0.0874,0.0028,3.0,53.0949,1.2077,4.9878,0.0004,24.1071,4.734,-0.0001,-0.0008,18.091,0.0353,6.48,3.9873,21.11767403400309,0.0988,11.2651,0.086,2.610869629057187,-0.0389,0.2081,0.0998,0.0013,8.4653,2.4229,6.0381,23.6929,0.0039,4.7415,0.0,3.0709,3.43,4.58,304.5139,0.0345,0.0356,0.0877,5.04,0.1397,0.0344,0.0339,565.0,0.0349,4.1816,0.0597,0.0162,2.5678,-0.0042,0.0203,580.25,4.0505,1.4336,29.4773,47.803,441.0,-0.0281,0.8887,-0.0132,0.8887,-0.0154,0.0226,0.0189,0.5051,-0.194,0.0955,1.1262,110.6781,748.3871,2.1109,0.04,0.353,-3914.75,0.0001,355.7932,1.6849,36.0395,6.9791,-0.0372,0.1764,2.9239,2.5197,110.283,44.0077,0.8294,0.3268,0.8142,0.8739,0.116,2.3404,0.0221,0.13,74.46,10.4319,13.0876,29.9535,0.0,0.0177,1046.2002,266.1526,27.7464,0.0,0.0049,0.2301,5.1685,9.5342,83.4997,18.27,0.8089,0.0686,0.7223,0.0604,3.8913,0.0342,0.0,0.1207,0.1527,0.0048,0.0,181.7863,1.1881,0.0221,0.0062,2.2725,17.8891,9.035,0.3887,254.5432,-0.0334,17.4008,0.5157,0.0,173.7,23.8878,39.0975,0.35,7.9894,2.6365,326.1524,467.5756,0.0143,0.0349,0.0778,0.371,0.0903,723.3853,0.0251,0.2395,3.4442,2117.0,276.541,8.8016,0.0013,8.255,509.0909,0.2028,375.0252,3.978,0.0058,4.2602,0.0288,15.015,5.5695,586.3636,17.4307,0.0672,14.0744,6.91,0.1489,65.3582,0.0026,219.7679,0.4162,2.2019,22.6594,4.7207,24.0522,0.0493,0.0105,0.06008639876352396,0.0022,14.05,0.0903,159.5238,55.7395,0.9513,0.0042,0.8615,0.0167,19.1737,136.9466,0.1456095054095827,1.115,5.4711,0.0423,201.7609,34.4004,10.965,1463.6606,0.0032,91.3669,0.2027,0.0227,162.4892,114.35,97.3718,0.0148,0.024,5.0409,12.74,4.1364,-0.4731,-0.027,83.5542,0.0307,0.004,0.0905,51.4535,7.116,0.8583,0.0012,23.0568,0.0019,7.5762,2.258,3.43,-0.0321,0.088,0.0983,8.3645,0.0153,0
-0.0765,0.0,0.8182,0.0045,0.1286,2.7959,0.0063,0.0078,0.0302,12.1235,1.6245,0.3503,47.8698,0.0194,0.0,65.5784,0.5652,7.78,1.1,0.0989,0.0017,1.9,74.695,1.029,6.8585,0.0003,39.4422,4.2075,-0.0001,0.0001,35.803,0.1352,278.19,4.1681,23.6052,0.1232,37.4108,0.0474,3.2415,0.0041,0.2239,0.0807,-0.0028,6.9889,2.2008,6.7774,8.9488,0.0035,5.2729,0.0,3.83,4.72,4.496,440.8163,0.0211,0.098,0.0378,7.61,-0.0672,0.0247,0.0663,807.0,0.0281,4.958,0.126,0.0533,3.306,-0.0057,0.0235,-737.0,1.6426,1.4141,72.153,11.961,1429.0,0.0004,1.4892,-0.0594,1.4892,0.0002,0.0317,0.016,0.6174,-0.1188,0.1027,0.962,484.1046,0.0,29.1309,0.142,0.4236,-3819.75,0.0002,0.0,2.7469,22.1485,6.7015,-0.0866,0.3062,2.8062,2.4679,225.7941,95.031,0.7884,0.0527,0.9357,0.1887,0.073,1.8761,-0.0086,0.11,78.09,9.6785,16.5435,16.0026,129.2388,0.0216,1222.1006,374.6159,7.321,0.0,0.0034,0.0577,10.9128,10.8717,57.0841,13.92,0.7568,0.1851,1.2554,0.0701,3.7801,0.0204,0.0,0.3878,0.1337,0.007,0.0,652.0774,1.6179,0.0147,0.0089,4.5432,10.8691,13.6872,1.1227,366.1448,-0.0456,19.9839,2.6891,0.0,175.4,13.5593,40.8608,0.48,9.147,3.6611,399.362,0.0,0.0106,0.0247,0.0789,0.3589,0.0915,0.0,0.0183,0.2038,3.2599,233.0,151.6605,11.8759,0.0011,5.954,89.1323,0.3444,376.4134,2.671,0.0048,1.4888,0.0086,24.8852,7.116,0.0,29.3676,0.0529,3.3091,21.7,0.4455,126.1031,0.0067,249.9639,0.3273,2.9758,48.5578,3.9589,29.3966,0.0463,0.0007,0.0486,0.0016,12.63,0.0541,79.1209,32.6055,0.5831,0.0034,1.0969,0.014,43.4259,128.9887,0.1334,0.9965,6.4786,0.051,133.6606,4.3184,14.952,1004.4692,0.0005,141.6508,0.354,-0.0187,16.2027,73.632,109.498,0.1039,0.0166,7.4754,5.5936,13.525,0.7096,0.0157,92.8285,0.0377,0.0064,0.0748,43.0771,7.116,0.791,0.0008,39.4817,0.0017,7.1665,7.1384,4.72,0.0249,0.0626,0.0976,16.0862,0.0055,0
-0.094,115.8919,0.5087,0.0066,0.1286,2.7959,0.0045,0.0122,0.0127,10.2005,1.3248,0.3266,25.8449,0.0124,0.0,44.2335,0.6286,6.28,0.6,0.081,0.0033,2.4,53.8333,1.8374,5.2798,0.0001,27.9793,6.5231,0.0001,-0.0011,31.886,0.0298,7.09,4.1681,18.212,0.0727,134.3623,0.056,2.2928,0.0067,0.1844,0.0912,0.0005,6.7934,2.217,6.153,37.6287,0.0035,5.2729,0.0,3.0596,5.09,6.867,155.6827,0.0282,0.2885,0.0476,5.63,0.001,0.0234,0.0528,948.0,0.0134,2.7826,0.0878,0.014,3.1427,-0.0048,0.0227,622.75,2.3441,1.4141,51.7053,81.637,3961.0,-0.0251,1.5156,-0.0523,1.5156,-0.0047,0.0331,0.0151,0.671,0.1975,0.0945,1.0021,51.4694,395.2941,26.9791,0.089,0.4343,-2948.0,0.0002,364.0719,1.6988,30.9028,6.6164,-0.1156,0.247,2.8062,2.4679,184.1738,111.6525,0.7884,2.9308,0.8582,0.1925,0.071,2.277,-0.0024,0.184,61.1,9.0916,8.2176,44.9089,86.1931,0.0103,740.3994,477.0328,7.321,0.0,0.0034,0.0577,9.2406,10.8717,74.3992,12.48,0.7568,0.1534,1.0533,0.0418,3.9049,0.0111,0.0,0.4127,0.1203,0.0072,0.0,1965.4555,2.1256,0.0089,0.0077,3.9995,13.0209,12.6837,2.9979,423.4787,-0.1279,19.9839,2.0667,0.0,136.1,16.3817,20.5522,0.48,15.4539,4.0644,496.3964,624.0602,0.0172,0.0441,0.0789,0.5478,0.0401,686.5784,0.0174,0.1564,3.4278,623.0,195.8407,4.9673,0.0011,7.245,106.1693,0.2186,205.529,3.217,0.0042,2.7664,0.0306,24.8852,7.116,616.8421,34.4251,0.0555,21.5711,19.79,0.3469,100.5114,0.0064,249.9639,0.3273,2.4902,37.8245,3.6794,29.3966,0.0415,-0.0066,0.0417,0.0022,16.32,0.0293,138.5827,38.494,0.7583,0.0046,0.8204,0.0128,39.091,121.9301,0.1145,0.9079,8.2095,0.0426,216.9538,11.1096,16.973,1004.4692,0.0287,57.1204,0.3168,-0.0088,18.8665,90.715,152.228,-0.0299,0.0159,4.4915,8.8612,14.3147,0.7096,0.0111,92.8285,0.0327,0.0064,0.0391,13.9158,7.116,0.791,0.0008,35.7156,0.0016,7.1665,4.5557,5.09,-0.0629,0.0551,0.0404,14.2892,0.0069,0
-0.0854,816.9231,0.8182,0.0063,0.1286,2.7959,0.0073,0.0145,0.0258,8.4421,0.6636,0.4002,44.0988,0.0191,0.0,72.1316,0.6154,7.04,0.8,0.1019,-0.0004,2.5,69.3175,1.4788,4.07,-0.0004,33.6449,7.4717,0.0002,0.0004,38.652,0.0368,3.54,5.6188,5.8617,0.1007,10.7887,0.0434,3.2894,0.0065,0.1946,0.0431,-0.0025,7.4985,2.2598,4.7137,22.155,0.0044,5.2729,0.0,3.8947,6.18,5.58,0.0,0.0218,0.098,0.052,10.29,-0.1621,0.0295,0.0339,186.0,0.027,6.2758,0.0485,0.0366,3.6422,-0.0073,0.0389,873.75,2.6612,1.4141,81.5915,43.062,422.0,-0.0375,1.9743,-0.0506,1.9743,0.0102,0.037,0.0179,0.9069,0.3639,0.0725,1.0207,142.5262,0.0,28.3118,0.052,0.4236,-3911.5,0.0002,115.01,3.1792,37.0311,6.6024,-0.1364,0.3062,2.8062,2.4679,80.8892,90.2294,0.7884,0.671,0.9357,0.1887,0.089,3.351,0.0275,0.022,78.09,13.4911,15.6593,63.2981,119.3208,0.0317,1266.0,790.5782,7.321,0.0,0.0034,0.0577,10.6022,10.8717,65.504,14.9,0.7568,0.3102,1.5076,0.0923,4.5845,0.0212,0.0,0.3714,0.1711,0.0107,0.0,179.359,1.6883,0.017,0.0114,3.3619,11.6882,12.4278,1.1227,76.6219,-0.0405,19.9839,0.4676,0.0,175.8,30.705,42.0501,0.48,8.2658,4.3995,397.4922,979.2574,0.0152,0.0359,0.0789,0.4257,0.0854,0.0,0.0133,0.2012,5.0014,862.0,392.7259,16.9701,0.0013,13.545,104.004,0.2438,406.3592,2.671,0.0047,0.7098,0.0008,24.8852,7.116,497.603,30.7396,0.0526,12.2822,23.39,0.7399,138.5192,0.0084,249.9639,0.3273,1.0395,57.2817,5.2213,30.9815,0.0478,0.0049,0.0148,0.0019,5.58,0.0506,86.0068,45.7453,0.8031,0.0038,1.0969,0.0145,52.8739,167.7256,0.0361,1.0028,6.509,0.0491,194.3669,16.0896,18.186,1004.4692,0.0065,108.9894,0.1676,-0.0117,21.8283,109.867,21.2876,0.1359,0.0159,8.726,6.8983,12.9464,0.7096,0.0159,92.8285,0.0251,0.009,0.0456,20.9776,7.116,0.791,0.0008,43.4619,0.0018,7.1665,2.9246,6.18,-0.0085,0.0634,0.0887,7.4181,0.0082,0
