sensor_169,sensor_445,sensor_369,sensor_578,sensor_175,sensor_422,sensor_417,sensor_295,sensor_409,sensor_203,sensor_575,sensor_492,sensor_300,sensor_154,sensor_151,sensor_416,sensor_170,sensor_588,sensor_197,sensor_333,sensor_138,sensor_171,sensor_031,sensor_471,sensor_457,sensor_282,sensor_205,sensor_472,sensor_297,sensor_377,sensor_358,sensor_109,sensor_010,sensor_101,sensor_225,sensor_152,sensor_434,sensor_078,sensor_497,sensor_218,sensor_080,sensor_560,sensor_025,sensor_102,sensor_229,sensor_198,sensor_093,sensor_443,sensor_042,sensor_553,sensor_095,sensor_353,sensor_489,sensor_524,sensor_137,sensor_271,sensor_554,sensor_570,sensor_424,sensor_288,sensor_253,sensor_526,sensor_584,sensor_425,sensor_500,sensor_458,sensor_432,sensor_364,sensor_569,sensor_108,sensor_487,sensor_394,sensor_276,sensor_367,sensor_413,sensor_435,sensor_299,sensor_547,sensor_393,sensor_576,sensor_312,sensor_325,sensor_079,sensor_408,sensor_567,sensor_561,sensor_182,sensor_290,sensor_342,sensor_439,sensor_148,sensor_511,sensor_287,sensor_092,sensor_345,sensor_130,sensor_213,sensor_083,sensor_204,sensor_357,sensor_480,sensor_286,sensor_456,sensor_139,sensor_094,sensor_128,sensor_304,sensor_429,sensor_321,sensor_339,sensor_206,sensor_431,sensor_437,sensor_366,sensor_004,sensor_378,sensor_486,sensor_209,sensor_438,sensor_541,sensor_105,sensor_574,sensor_228,sensor_298,sensor_430,sensor_280,sensor_224,sensor_361,sensor_183,sensor_217,sensor_469,sensor_349,sensor_461,sensor_072,sensor_523,sensor_568,sensor_354,sensor_281,sensor_196,sensor_215,sensor_064,sensor_473,sensor_332,sensor_407,sensor_140,sensor_041,sensor_360,sensor_011,sensor_249,sensor_279,sensor_274,sensor_488,sensor_440,sensor_163,sensor_590,sensor_460,sensor_104,sensor_522,sensor_301,sensor_222,sensor_484,sensor_272,sensor_475,sensor_552,sensor_147,sensor_303,sensor_512,sensor_081,sensor_566,sensor_068,sensor_103,sensor_389,sensor_433,sensor_406,sensor_181,sensor_419,sensor_426,sensor_216,sensor_589,sensor_115,sensor_338,sensor_076,sensor_168,sensor_172,sensor_388,sensor_449,sensor_577,sensor_024,sensor_082,sensor_162,sensor_483,sensor_096,sensor_305,sensor_161,sensor_392,sensor_352,sensor_436,sensor_418,sensor_077,sensor_202,sensor_447,sensor_336,sensor_278,sensor_564,sensor_420,sensor_145,sensor_585,sensor_126,sensor_099,sensor_015,sensor_146,sensor_292,sensor_211,sensor_587,sensor_546,sensor_573,sensor_226,sensor_322,sensor_501,sensor_318,sensor_189,sensor_362,sensor_491,sensor_317,sensor_097,sensor_005,sensor_291,sensor_572,sensor_212,sensor_414,sensor_485,sensor_474,sensor_090,sensor_239,sensor_275,sensor_223,sensor_273,sensor_201,sensor_065,sensor_240,sensor_060,sensor_490,sensor_477,sensor_052,sensor_302,sensor_542,sensor_368,sensor_481,sensor_556,sensor_387,sensor_363,label
0.069,0.9163,0.0028,14.9509,0.3184,6.0544,2.738,418.1363,5.6188,4.04,3.0624,0.7578,0.0202,0.0167,4.271,6.9458,0.046,0.0148,5.38,1.5989,75.2,0.725,0.1632,2.7864,6.1463,0.012,0.2951,9.7752,496.1582,0.001,0.0004,-0.0112,0.0162,0.0002,0.0315,10.284,49.0013,0.0141,17.1202,0.1135,-0.0083,0.4385,751.0,0.0002,0.0155,20.1,-0.0055,1.1975,4.515,0.1827,0.0001,0.0206,53.1098,0.1094,111.3,30.9815,5.7349,16.98835,53.684,0.1337,2.8374,3.1406,0.0118,2.4788,0.0,4.0502,33.1562,560.2658,1.9997,-0.2468,843.1138,0.1437,0.131,0.0043,24.8504,10.0503,0.0373,1.0616,0.0017,0.1026,0.1431,18.0118,-0.0307,1.4392,2.15045,0.1039,0.333,3.8447,2.8551,44.5055,0.0328,64.6707,3.5811,0.0,31.8843,-0.0473,0.07,-0.0044,16.23,1.2708,1.6936,1.5123,2.3106,46.2,-0.0001,0.4098,0.02,3.275,0.0254,1.2293,8.64,18.7673,3.1158,0.0046,1411.1265,0.0013,178.1759,97.314,3.1136,4.0825,0.0003,0.3157,0.0165,158.333,3.6084,0.0319,175.2173,0.0065,12.49,0.0301,311.6377,0.0215,29.9394,84.0793,29.3804,0.04865,0.0238,0.0197,0.292,0.0704,16.1445,63.7987,0.0752,14.2396,350.671,61.29,0.0229,-0.0034,0.0188,0.001,15.9525,0.0,42.2737,368.0,71.9005,1.7924,-0.0042,0.0,0.0462,0.0707,291.4842,33.9606,13.6778,0.78,0.0358,0.3032,0.0,-0.0026,0.11954999999999999,0.9226,0.135,61.5932,26.3617,0.0151,20.95,525.0965,4.7141,0.052,0.0046,0.0,1.5989,0.0126,0.9,0.1139,0.0,0.1362,1.6765,-4043.75,-0.0567,1066.0,613.3069,0.0003,0.0174,967.0,0.0082,0.0238,2.7073,5.9846,-0.0206,5.38,1.4324,3.0911,2.5883,0.651,0.0,0.0898,0.0035,0.8656,0.3974,7.9558,0.085,0.0167,0.0772,0.0205,7.116,8.95,1940.3994,1.6252,0.0,0.1181,65.363,55.2039,48.2091,6.2698,-0.2786,1.3602,0.1077,2.1113,0.0599,29.0271,494.6996,24.7625,0.1841,0.0027,110.2144,0.0211,22.9057,10.3,21.7264,0.004,-1.7264,0.0,31.9893,218.3174,0.6083,11.5074,0.0032,115.7408,39.8842,0.0055,0.0105,0
0.079,1.0239,0.0033,10.9003,0.4115,6.1491,3.93,233.9865,4.3465,3.659,2.0111,3.6822,0.0561,0.0144,6.285,5.5695,0.561,0.0201,3.74,1.1506,81.0,1.0498,0.2102,3.0652,6.9233,0.0154,0.358,10.2211,139.2082,0.0022,0.0017,-0.0903,-0.0005,-0.0004,0.0238,13.077,199.7866,0.0004,12.6788,0.0747,-0.0358,0.1745,-1640.25,-0.0004,0.0236,19.59,-0.0015,1.9562,2.773,0.2829,-0.0005,0.0143,194.4371,0.0673,80.3,29.0598,7.1196,16.98835,61.8918,0.1662,3.8999,3.131,0.0223,3.1531,0.0,4.7448,2.2655,677.1873,1.9997,0.0772,130.635,0.1921,0.0767,0.0059,15.015,8.6336,0.0502,1.3526,0.0027,0.0772,0.0856,23.623,-0.044,1.0323,2.15045,0.0375,0.439,3.7836,2.4278,48.5294,0.0204,141.4365,3.9483,0.1455,41.708,-0.0946,0.0416,0.0017,15.078,1.2474,1.2928,2.1016,2.2568,56.2,0.0,0.4138,0.0291,2.8088,0.0264,1.1265,8.96,10.4383,1.6779,0.0053,1463.6606,0.0013,359.0444,134.25,3.2153,2.9799,0.0002,0.2653,0.0203,1529.7622,3.1595,0.044,128.4285,0.0005,10.14,0.0734,463.2883,0.0142,40.4475,82.3494,26.397,0.04865,0.0513,0.0171,0.222,0.0468,10.9036,73.5536,0.0778,10.5837,219.7679,78.25,0.0248,-0.0148,0.0154,0.0012,17.4008,820.79,37.5793,3277.0,208.2045,1.4336,-0.0045,0.0,0.0591,0.0761,246.7762,28.9862,13.243,1.33,0.0547,0.3464,0.0,-0.012,0.11954999999999999,1.1598,-0.0752,65.0999,8.4887,0.012,17.99,0.0,6.1188,0.0987,0.006,0.0,1.1506,-0.0039,1.1,0.1917,0.0,0.2751,1.1065,-3498.75,-0.0377,297.0,0.0,0.0001,0.1822,59.0,0.0068,0.0729,5.7093,9.0604,-0.0198,3.74,1.5683,3.3604,1.8459,0.651,368.9713,0.1356,0.0055,0.8703,-0.9353,10.1548,0.06,0.0139,0.0566,0.0096,7.116,5.92,1988.0,1.8045,0.0,0.1417,82.986,46.3453,58.1666,5.6522,0.5854,0.8294,0.1,2.4335,0.0488,27.7464,0.0,19.4865,0.1874,0.0064,83.5542,0.0014,22.3163,8.02,19.1927,0.0036,0.8073,0.0,30.8643,205.1695,0.8151,9.5796,0.0081,163.0249,53.1836,0.0049,0.0069,0
0.123,0.8973,0.0037,9.2721,0.3141,4.0917,3.0609,251.4536,4.0782,11.059,4.0923,1.0281,0.0583,0.0177,4.819,8.7236,0.319,0.0148,5.09,1.5481,96.5,1.0824,0.1734,9.3327,15.079,0.0157,0.1164,8.3977,325.0672,0.0021,0.0005,-0.0728,0.0041,0.0006,0.0284,8.443,109.5747,-0.0052,18.9849,0.0718,-0.0054,0.3718,-1916.5,-0.0001,0.017,19.75,0.0006,0.4264,5.434,0.0857,0.0,0.0116,191.7582,0.0751,126.4,23.551,7.1619,16.98835,50.6425,0.1479,4.1446,12.1831,0.0157,2.0261,0.0,6.528,29.1663,283.6616,0.4119,-0.0301,746.915,0.1375,0.1117,0.0043,18.0233,14.2503,0.08,0.7942,0.002,0.064,0.1175,16.0104,0.0213,1.1798,0.4122,0.1233,0.745,2.8046,3.7663,60.0,0.0221,46.9861,2.5493,0.0553,24.7959,-0.1892,0.0696,0.0287,22.624,0.7786,2.6727,1.5306,3.1182,45.1001,-0.0013,0.4777,0.0416,3.7479,0.0546,2.9844,13.3,10.3162,0.8972,0.0054,1698.0172,0.0015,190.3869,79.618,3.1281,2.9667,-0.0016,0.1882,0.0192,902.4576,3.522,0.0249,182.4956,0.0046,13.31,0.0349,21.3645,0.0105,32.3594,84.7681,14.5293,0.04865,0.0428,0.0152,0.139,0.0401,11.3019,148.0287,0.0243,11.4871,306.038,14.37,0.0302,0.0013,0.0273,0.0012,15.7716,74.0741,70.9161,2100.0,82.8602,2.8042,-0.0026,0.0,0.0326,0.0963,151.7665,41.3837,45.5423,0.85,0.0619,0.4031,244.2748,-0.1134,0.11954999999999999,0.8694,0.0134,28.7334,18.7546,0.019,17.78,0.0,5.2707,0.084,0.0046,0.0,1.5481,-0.0078,1.4,0.0369,0.0,0.2748,2.0952,-4047.0,-0.0182,759.0,434.2674,0.0002,0.1041,788.0,0.019,0.0171,5.765,5.2231,-0.0326,5.09,1.4698,3.16,2.5274,0.9032,0.0,0.0754,0.0039,0.8798,-0.1427,9.5157,0.0483,0.0167,0.0339,0.0584,7.116,11.21,839.6006,2.568,0.0,0.2682,60.11,58.0575,34.1573,5.7247,-0.1343,1.5102,0.1185,2.0293,0.0494,21.6062,0.0,31.4674,0.1497,0.0062,97.3868,0.0152,32.6256,16.73,16.1755,0.004,23.8245,250.1742,13.3923,185.7574,0.6964,9.3046,0.003,93.9245,23.0713,0.01,0.0092,1
0.086,0.6849,0.0034,8.5831,0.2618,6.5718,2.4643,415.5048,5.6363,11.382,2.8971,1.767,0.0445,0.015,9.073,5.286,0.241,0.0149,5.92,1.7317,123.7,0.9386,0.2071,12.3786,13.7105,0.0172,0.3458,9.1494,1572.6896,0.0024,0.0006,-0.118,-0.0124,-0.0002,0.0573,15.241,181.2641,-0.04,29.2542,0.0932,0.0676,0.7288,-1657.25,0.0,0.0149,23.6,-0.0003,0.4097,1.279,0.6812,-0.0001,0.0224,0.0,0.0977,118.0,33.896,7.4279,25.0363,94.4594,0.3882,3.2119,6.7553,0.0103,3.6091,0.0,3.9918,13.4051,309.8492,2.729,-0.0483,104.666,0.1348,0.0581,0.0049,17.8537,5.176,0.0285,1.165,0.0023,0.0525,0.0973,15.7375,0.04,1.1907,3.5611,0.0592,0.693,3.9403,3.0229,34.0336,0.019,113.5593,4.0526,0.0697,29.0339,0.2838,0.1223,0.0277,24.32,1.8222,3.5135,2.896,3.0744,47.8,-0.0021,0.5176,0.0286,2.8049,0.0479,3.0672,9.56,15.7089,1.3671,0.0046,909.7926,0.0014,88.5553,104.95,2.7013,3.2465,0.0003,0.1738,0.0152,1377.4276,4.9898,0.0417,152.0885,0.0004,14.67,0.0643,24.2831,0.0407,27.6824,70.2289,13.2699,0.067,0.0422,0.0115,0.139,0.0708,13.5597,100.0021,0.0243,13.3972,162.432,76.9,0.0252,-0.0033,0.0234,0.0007,16.9347,71.7583,41.5236,3004.0,73.8432,2.8555,-0.0059,0.0,0.0465,0.0764,100.4883,37.8477,48.4887,1.15,0.0613,0.3046,0.0,-0.1051,0.163,0.9761,-0.0699,32.4228,76.0354,0.0155,16.22,317.7362,13.442,0.0754,0.0044,0.0,1.7317,-0.0555,0.9,0.0356,0.0,0.3332,1.7585,-4515.0,0.0028,3433.0,225.0169,0.0002,0.0824,355.0,0.0132,0.0167,5.3899,7.6602,-0.0461,5.92,1.3141,3.2699,2.1775,0.6511,0.0,0.114,0.0025,1.366,0.0177,9.6052,0.0393,0.0245,0.1248,0.0202,7.116,9.33,820.3999,1.7339,711.6418,0.2004,52.571,45.7058,72.9635,5.444,0.0411,1.3204,0.0916,2.0253,0.0463,14.5054,305.75,37.8979,0.1958,0.0067,50.3631,0.0015,44.3906,13.56,15.6209,0.004,24.3791,336.766,35.4323,189.9079,0.6305,7.7754,0.0028,149.4399,54.4417,0.0068,0.0188,0
0.101,0.9088,0.0027,10.9698,0.3053,7.0492,3.3208,319.1252,5.3823,8.446,3.1776,2.2358,0.0181,0.0126,9.005,3.6256,0.499,0.0149,5.52,1.6216,123.1,0.576,0.2696,5.2987,11.4945,0.0163,0.3951,7.4365,799.5884,0.0025,0.001,-0.2038,-0.0031,0.0004,0.197,12.506,0.0,-0.0167,22.0391,0.1015,0.0034,0.2156,117.0,-0.0003,0.0272,15.76,-0.0077,0.7198,2.209,0.4287,-0.0001,0.0256,748.1781,0.0616,143.2,34.125,9.7608,16.98835,85.2255,0.1293,2.5775,2.9954,0.0138,2.9734,293.1396,2.8822,10.739,494.7368,1.9997,-0.0799,0.0,0.1356,0.1092,0.0077,22.3369,11.4064,0.0755,1.4636,0.0077,0.0706,0.0582,23.116,-0.0449,1.1704,2.15045,0.0461,0.282,4.3474,3.0939,25.3521,0.024,148.0663,3.6536,0.0448,32.0537,-0.5677,0.0769,-0.0048,33.832,1.553,3.0615,3.2376,4.7756,48.8,-0.0001,0.5328,0.032,3.4473,0.0327,2.5923,9.09,12.7642,1.5533,0.0063,1326.52,0.0012,240.1781,92.307,6.2069,1.9999,0.0002,0.2224,0.0227,628.3083,3.8754,0.0257,69.151,0.0001,10.85,0.0924,44.898,0.0246,30.8924,65.8417,18.7319,0.04865,0.0545,0.0116,0.25,0.0797,21.9782,89.9529,0.0822,7.1493,296.303,76.39,0.0286,-0.0072,0.024,0.0013,17.4864,587.3773,37.4691,1443.0,73.8432,3.8248,-0.0045,0.0,0.0476,0.0802,276.881,55.9626,19.1303,1.98,0.0623,0.2698,0.0,-0.0178,0.11954999999999999,0.9256,0.0696,57.2692,43.8119,0.0165,15.24,0.0,4.2892,0.1047,0.0044,0.0,1.6216,-0.0534,0.8,0.0631,0.0,0.7592,1.6597,-3987.5,-0.0123,1747.0,171.4486,-0.0001,0.1541,283.0,0.0065,0.0522,2.0088,4.2178,0.0183,5.52,1.2524,3.155,1.0929,0.651,866.0295,0.0634,0.0036,0.946,-0.6704,10.5661,0.0451,0.0181,0.0915,0.0202,7.116,8.83,1406.4004,1.1229,0.0,0.0766,72.149,21.0312,55.1057,4.8956,0.2189,1.5334,0.1275,2.0275,0.0506,24.4142,461.8619,17.0927,0.1829,0.0067,88.7672,0.0004,53.0876,19.77,32.2945,0.0031,-12.2945,0.0,42.6838,233.5491,1.35,9.4805,0.0052,140.1953,70.9706,0.0089,0.0573,0
0.106,0.8812,0.0027,13.7755,0.3824,6.1687,3.3208,982.8228,5.4262,9.679,2.2598,2.2508,0.0158,0.0106,5.369,3.6256,0.123,0.0151,6.61,1.9589,119.3,0.6308,0.1394,10.1989,13.0665,0.0155,0.5217,9.0384,152.4347,0.0013,0.0009,0.1324,0.0167,-0.0002,0.031,10.42,597.1613,-0.001,14.7656,0.0575,-0.0026,0.29,193.75,-0.0001,0.019,24.22,0.0009,3.2918,3.024,0.5329,-0.0002,0.0148,723.4234,0.0706,159.8,32.0878,7.2448,22.5598,61.9853,0.1614,2.6668,4.406,0.0189,2.5154,0.0,5.7538,30.8083,335.5983,1.87,-0.2601,0.0,0.152,0.1092,0.0048,22.3369,7.2788,0.0279,1.2708,0.0081,0.0899,0.101,25.2892,-0.0074,1.0323,1.8784,0.0604,0.482,3.8352,3.7242,55.102,0.0141,68.7351,3.1727,-0.113,33.4938,-0.0946,0.0849,0.021,34.8069,0.969,5.506,1.4873,4.7579,48.8,-0.0004,0.4138,0.0405,3.6019,0.0453,2.6806,12.32,34.4833,1.4752,0.0095,1326.52,0.0011,826.936,111.952,2.7253,2.9799,0.0006,0.3201,0.0362,478.1502,3.6904,0.0226,129.1731,0.0012,14.38,0.0803,23.3606,0.0166,42.8261,70.3707,21.157,0.0743,0.0315,0.0155,0.244,0.0494,7.618,138.25515000000001,0.0789,10.5837,296.303,59.94,0.0227,0.0055,0.0198,0.0013,17.4864,78.3348,76.0159,1157.0,44.0077,3.3771,-0.0052,0.0,0.0203,0.0662,71.0586,52.6671,52.6935,1.65,0.0478,0.3162,622.2222,-0.0853,0.1905,0.9227,0.0265,58.2605,8.2683,0.012,19.7,347.774,6.0186,0.0668,0.0052,0.0,1.9589,0.0198,0.9,0.1125,0.0,0.1864,1.6679,-3906.5,-0.0111,323.0,325.3468,0.0001,0.0439,910.0,0.0077,0.0277,2.0253,4.638,-0.055,6.61,1.1174,3.3583,1.0929,0.8444,865.1584,0.0709,0.0044,0.8703,-0.224,8.6617,0.0581,0.0176,0.0645,0.0342,7.116,8.91,1132.2998,2.3901,0.0,0.1505,82.556,42.1498,42.6594,5.5901,0.1925,1.5334,0.1275,2.3236,0.0391,24.4142,0.0,56.4737,0.2099,0.0036,88.7672,0.0028,36.4696,21.78,11.7045,0.0035,28.2955,273.8095,56.539,192.7702,0.632,9.5796,0.0033,159.0889,86.9463,0.0078,0.0092,0
0.116,0.8615,0.004,8.3645,0.353,6.9791,3.93,1000.9579,3.9873,4.58,2.2019,2.6373,0.0174,0.0189,8.255,5.5695,0.11,0.0151,3.43,0.8887,122.5,0.5811,0.2081,2.3822,7.9894,0.0167,0.334,10.4319,181.7863,0.0022,0.0013,-0.0372,-0.027,0.0004,0.0983,10.965,97.3718,-0.0321,41.0596,0.0877,-0.0154,0.4697,580.25,-0.0001,0.0203,17.53,0.0013,0.3887,3.978,0.0686,0.0,0.0221,355.7932,0.0988,173.7,24.0522,5.4711,16.98835,91.3669,0.1207,3.4843,4.734,0.0143,2.6365,0.0,3.4406,23.8878,375.0252,1.9997,0.0148,586.3636,0.1858,0.0767,0.0048,15.015,8.6069,0.0339,0.5051,0.0019,0.0597,0.0698,14.0744,-0.0389,0.8583,2.15045,0.0905,0.475,4.2802,4.1816,24.1071,0.0246,159.5238,3.8913,0.1397,36.0395,-0.4731,0.0355,0.0288,18.091,0.7223,2.2725,2.3404,2.1894,56.2,-0.0028,0.4162,0.0344,2.8088,0.0349,1.1881,13.41,34.4004,4.2602,0.0062,1463.6606,0.0019,189.4602,114.35,4.9342,2.9239,-0.0008,0.2027,0.0226,254.5432,6.1127,0.0307,65.3582,0.0011,10.81,0.0998,162.4892,0.0177,23.6929,83.4997,13.0876,0.04865,0.0423,0.024,0.222,0.0903,12.74,110.283,0.0778,9.5342,219.7679,74.46,0.0349,0.0105,0.0379,0.0012,17.4008,0.0,55.7395,565.0,44.0077,1.0951,-0.0042,0.0,0.0578,0.0903,509.0909,53.0949,17.4307,0.87,0.0493,0.2028,748.3871,-0.0022,0.11954999999999999,1.115,0.0221,39.0975,11.2651,0.0113,18.27,326.1524,4.1364,0.0874,0.0052,0.0,0.8887,0.0227,0.6,0.0356,0.0,0.8739,1.1958,-3914.75,-0.0281,441.0,266.1526,0.0001,0.0353,643.0,0.01,0.0345,2.258,6.0381,-0.0132,3.43,1.2295,3.4442,1.8459,0.651,467.5756,0.0955,0.0042,0.8089,-0.194,9.035,0.088,0.0251,0.0604,0.0342,7.116,6.48,1046.2002,1.6849,723.3853,0.1527,47.803,23.0568,22.6594,4.9162,-0.0334,0.8294,0.1,2.4229,0.0672,27.7464,110.6781,19.1737,0.2395,0.0067,83.5542,0.0032,40.5089,14.05,17.8891,0.0058,2.1109,304.5139,29.9535,201.7609,0.9513,7.5762,0.0026,136.9466,29.4773,0.0153,0.0293,0
0.073,1.0969,0.0064,16.0862,0.4236,6.7015,2.8699,106.4973,4.1681,4.496,2.9758,2.5556,0.0683,0.016,5.9510000000000005,7.116,0.385,0.0194,4.72,1.4892,201.1,0.8182,0.2239,10.428,9.147,0.014,0.7151,9.6785,652.0774,0.0016,0.0011,-0.0866,0.0157,0.0003,0.0976,14.952,109.498,0.0249,47.8698,0.0378,0.0002,0.4232,-737.0,-0.0001,0.0235,24.7,-0.0028,1.1227,2.671,0.1851,0.0,0.0147,0.0,0.1232,175.4,29.3966,6.4786,23.6052,141.6508,0.3878,2.7835,4.2075,0.0106,3.6611,0.0,5.5678,13.5593,376.4134,2.9349,0.1039,0.0,0.143,0.0216,0.007,24.8852,12.1235,0.0663,0.6174,0.0087,0.126,0.1358,3.3091,0.0041,0.791,3.2415,0.0748,0.393,4.0139,4.958,39.4422,0.0313,79.1209,3.7801,-0.0672,22.1485,0.7096,0.1203,0.0086,35.803,1.2553,4.5432,1.87515,4.9943,55.5,-0.0018,0.3273,0.0247,3.8319,0.0247,1.6179,17.14,4.3184,1.4888,0.0089,1004.4692,0.0017,0.0,73.632,2.8232,2.8062,0.0001,0.354,0.0317,366.1448,3.3651,0.0377,126.1031,0.0002,14.09,0.0807,16.2027,0.0216,8.9488,57.0841,16.5435,0.0486,0.051,0.0166,0.244,0.0541,5.5936,225.7941,0.0789,10.8717,249.9639,78.09,0.0281,0.0007,0.0155,0.0008,19.9839,129.2388,32.6055,807.0,95.031,3.4032,-0.0057,0.0,0.0513,0.0915,89.1323,74.695,29.3676,0.76,0.0463,0.3444,0.0,-0.0765,0.1334,0.9965,-0.0086,40.8608,37.4108,0.0102,13.92,399.362,13.525,0.0989,0.0063,0.0,1.4892,-0.0187,1.1,0.098,0.0,0.1887,1.6245,-3819.75,0.0004,1429.0,374.6159,0.0002,0.1352,346.0,0.0078,0.0211,7.1384,6.7774,-0.0594,4.72,1.4381,3.2599,2.7959,0.5652,0.0,0.1027,0.0034,0.7568,-0.1188,13.6872,0.0626,0.0183,0.0701,0.0204,7.116,278.19,1222.1006,2.7469,0.0,0.1337,11.961,39.4817,48.55745,4.8066,-0.0456,0.7884,0.1286,2.2008,0.0529,7.321,484.1046,43.4259,0.2038,0.0045,92.8285,0.0005,65.5784,12.63,10.8691,0.0048,29.1309,440.8163,15.9738,133.6606,0.5831,7.1665,0.0067,128.9887,72.153,0.0055,0.0302,0
0.071,0.8204,0.0064,14.2892,0.4343,6.6164,2.8699,278.6719,4.1681,6.867,2.4902,2.5556,0.04,0.0151,7.245,7.116,0.091,0.0124,5.09,1.5156,116.8,0.5087,0.1844,8.9128,15.4539,0.0128,0.4077,9.0916,1965.4555,0.0022,0.0011,-0.1156,0.0111,0.0001,0.0404,16.973,152.228,-0.0629,25.8449,0.0476,-0.0047,0.1343,622.75,0.0001,0.0227,18.92,0.0005,2.9979,3.217,0.1534,0.0,0.0089,364.0719,0.0727,136.1,29.3966,8.2095,18.212,57.1204,0.4127,2.8729,6.5231,0.0172,4.0644,0.0,4.0705,16.381,205.529,2.3682,-0.0299,616.8421,0.1432,0.0216,0.0072,24.8852,10.1977,0.0528,0.671,0.0064,0.0878,0.0908,21.5711,0.0067,0.791,2.2928,0.0391,0.36,3.9363,2.7826,27.9793,0.0298,138.5827,3.9049,0.001,30.9028,0.7096,0.0324,0.0306,31.886,1.0533,3.9995,2.277,4.2888,55.5,-0.0033,0.3273,0.0234,3.8319,0.0441,2.1256,7.18,11.1056,2.7643,0.0077,1004.4692,0.0016,112.9534,90.715,3.8217,2.8062,-0.0011,0.3168,0.0331,423.4787,3.9248,0.0327,100.5114,0.01,11.45,0.0912,18.8665,0.0103,37.6287,74.3992,8.2176,0.0417,0.0426,0.0159,0.244,0.0293,8.8612,184.1738,0.0789,10.8717,249.9639,61.1,0.0134,-0.0066,0.0222,0.0008,19.9839,86.1931,38.494,948.0,111.6525,3.0923,-0.0048,0.0,0.0828,0.0401,106.1693,53.8333,34.4251,1.36,0.0415,0.2186,395.2941,-0.094,0.1145,0.9079,-0.0024,20.5522,134.3623,0.0102,12.48,496.3964,14.3147,0.081,0.0045,0.0,1.5156,-0.0088,0.6,0.2885,0.0,0.1925,1.3248,-2948.0,-0.0251,3961.0,477.0328,0.0002,0.0298,438.0,0.0122,0.0282,4.5511,6.153,-0.0523,5.09,1.2938,3.4278,2.7959,0.6286,624.0602,0.0945,0.0046,0.7568,0.1975,12.6837,0.0551,0.0174,0.0418,0.0111,7.116,7.09,740.3994,1.6988,686.5784,0.1203,81.637,35.7156,37.8245,4.3824,-0.1279,0.7884,0.1286,2.217,0.0555,7.321,51.4694,39.091,0.1564,0.0066,92.8285,0.0287,44.2335,16.32,13.0209,0.0042,26.9791,155.6827,44.9089,216.9538,0.7583,7.1665,0.0064,121.9301,51.7053,0.0069,0.0127,0
0.089,1.0969,0.009,7.4181,0.4236,6.6024,2.8699,354.072,5.6188,5.58,1.0395,3.2587,0.0231,0.0179,13.545,7.116,0.096,0.0191,6.18,1.9743,211.9,0.8182,0.1946,12.1954,8.2658,0.0145,0.6348,13.4911,179.359,0.0019,0.0013,-0.1364,0.0159,-0.0004,0.0887,18.186,21.2876,-0.0085,44.0988,0.052,0.0102,0.2005,873.75,0.0002,0.0389,14.7,-0.0025,1.1227,2.671,0.3102,0.0,0.017,115.01,0.1007,175.8,30.9815,6.509,5.8617,108.9894,0.3714,2.9198,7.4717,0.0152,4.3995,0.0,7.5033,30.705,406.3592,2.6545,0.1359,497.603,0.1628,0.0216,0.0107,24.8852,8.4421,0.0339,0.9069,0.0013,0.0485,0.1358,12.2822,0.0065,0.791,3.2894,0.0456,0.509,3.9676,6.2758,33.6449,0.0344,86.0068,4.5845,-0.1621,37.0311,0.7096,0.0828,0.0008,38.652,1.5076,3.3619,3.351,4.8592,55.5,0.0004,0.3273,0.0295,3.8319,0.0359,1.6883,24.97,16.0896,0.7098,0.0114,1004.4692,0.0018,816.9231,109.867,3.7295,2.8062,0.0004,0.1676,0.037,76.6219,3.0589,0.0251,138.5192,0.0019,14.36,0.0431,21.8283,0.0317,22.155,65.504,15.6593,0.0148,0.0491,0.0159,0.244,0.0506,6.8983,80.8892,0.0789,10.8717,249.9639,78.09,0.027,0.0049,0.025,0.0008,19.9839,119.3208,45.7453,186.0,90.2294,3.6557,-0.0073,0.0,0.0102,0.0854,104.004,69.3175,30.7396,1.11,0.0478,0.2438,0.0,-0.0854,0.0361,1.0028,0.0275,42.0501,10.7887,0.0102,14.9,397.4922,12.9464,0.1019,0.0073,0.0,1.9743,-0.0117,0.8,0.098,0.0,0.1887,0.6636,-3911.5,-0.0375,422.0,790.5782,0.0002,0.0368,882.0,0.0145,0.0218,2.9246,4.7137,-0.0506,6.18,1.4381,5.0014,2.7959,0.6154,979.2574,0.0725,0.0038,0.7568,0.3639,12.4278,0.0634,0.0133,0.0923,0.0212,7.116,3.54,1266.0,3.1792,0.0,0.1711,43.062,43.4619,57.2817,4.9838,-0.0405,0.7884,0.1286,2.2598,0.0526,7.321,138.7755,52.8739,0.2012,0.0063,92.8285,0.0065,72.1316,5.58,11.6882,0.0047,28.3118,0.0,63.2981,194.3669,0.8031,7.1665,0.0084,167.7256,81.5915,0.0082,0.0258,0
