iter	Passed	Remaining
0	1	162
1	2	109
2	2	86
3	3	80
4	4	76
5	4	73
6	5	73
7	6	71
8	7	71
9	7	69
10	8	67
11	8	65
12	9	65
13	10	64
14	10	62
15	11	60
16	12	62
17	13	60
18	14	60
19	14	59
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	26	41
39	26	40
40	27	39
41	28	38
42	28	38
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	61	9
87	65	8
88	66	8
89	69	7
90	72	7
91	74	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
