feature,count,stability
sensor_065,5,1.0
sensor_060,5,1.0
sensor_288,5,1.0
sensor_104,5,1.0
sensor_430,5,1.0
sensor_154,4,0.8
sensor_367,4,0.8
sensor_349,4,0.8
sensor_575,4,0.8
sensor_292,4,0.8
sensor_041,4,0.8
sensor_426,4,0.8
sensor_064,3,0.6
sensor_206,3,0.6
sensor_434,3,0.6
sensor_078,3,0.6
sensor_574,3,0.6
sensor_342,3,0.6
sensor_585,3,0.6
sensor_171,3,0.6
sensor_406,3,0.6
sensor_286,2,0.4
sensor_552,2,0.4
sensor_097,2,0.4
sensor_148,2,0.4
sensor_213,2,0.4
sensor_436,1,0.2
sensor_332,1,0.2
sensor_068,1,0.2
sensor_024,1,0.2
sensor_407,1,0.2
sensor_072,1,0.2
sensor_573,1,0.2
sensor_172,1,0.2
sensor_011,1,0.2
sensor_211,1,0.2
