feature,count,stability
sensor_485,5,1.0
sensor_130,5,1.0
sensor_456,5,1.0
sensor_426,5,1.0
sensor_368,5,1.0
sensor_175,5,1.0
sensor_172,5,1.0
sensor_443,5,1.0
sensor_015,5,1.0
sensor_151,5,1.0
sensor_064,5,1.0
sensor_198,5,1.0
sensor_183,5,1.0
sensor_542,5,1.0
sensor_060,5,1.0
sensor_103,5,1.0
sensor_486,4,0.8
sensor_222,4,0.8
sensor_585,4,0.8
sensor_364,4,0.8
sensor_588,4,0.8
sensor_092,4,0.8
sensor_280,4,0.8
sensor_366,4,0.8
sensor_206,4,0.8
sensor_072,4,0.8
sensor_449,4,0.8
sensor_587,4,0.8
sensor_218,4,0.8
sensor_472,4,0.8
sensor_407,4,0.8
sensor_414,4,0.8
sensor_541,4,0.8
sensor_561,4,0.8
sensor_488,4,0.8
sensor_378,4,0.8
sensor_416,4,0.8
sensor_492,4,0.8
sensor_431,4,0.8
sensor_229,4,0.8
sensor_429,4,0.8
sensor_556,4,0.8
sensor_291,4,0.8
sensor_501,4,0.8
sensor_413,4,0.8
sensor_388,3,0.6
sensor_299,3,0.6
sensor_338,3,0.6
sensor_128,3,0.6
sensor_345,3,0.6
sensor_065,3,0.6
sensor_566,3,0.6
sensor_569,3,0.6
sensor_052,3,0.6
sensor_152,3,0.6
sensor_512,3,0.6
sensor_367,3,0.6
sensor_564,3,0.6
sensor_154,3,0.6
sensor_570,3,0.6
sensor_101,3,0.6
sensor_010,3,0.6
sensor_389,3,0.6
sensor_108,3,0.6
sensor_489,3,0.6
sensor_437,3,0.6
sensor_140,3,0.6
sensor_276,3,0.6
sensor_215,3,0.6
sensor_357,3,0.6
sensor_436,2,0.4
sensor_145,2,0.4
sensor_095,2,0.4
sensor_417,2,0.4
sensor_099,2,0.4
sensor_041,2,0.4
sensor_163,2,0.4
sensor_491,2,0.4
sensor_342,2,0.4
sensor_560,2,0.4
sensor_409,2,0.4
sensor_332,2,0.4
sensor_169,2,0.4
sensor_005,2,0.4
sensor_138,2,0.4
sensor_481,2,0.4
sensor_425,2,0.4
sensor_225,2,0.4
sensor_477,2,0.4
sensor_292,2,0.4
sensor_553,2,0.4
sensor_301,2,0.4
sensor_205,2,0.4
sensor_228,2,0.4
sensor_369,2,0.4
sensor_004,2,0.4
sensor_487,2,0.4
sensor_078,2,0.4
sensor_573,2,0.4
sensor_578,2,0.4
sensor_568,2,0.4
sensor_096,2,0.4
sensor_317,2,0.4
sensor_432,2,0.4
sensor_394,2,0.4
sensor_216,1,0.2
sensor_281,1,0.2
sensor_253,1,0.2
sensor_182,1,0.2
sensor_304,1,0.2
sensor_577,1,0.2
sensor_011,1,0.2
sensor_497,1,0.2
sensor_360,1,0.2
sensor_430,1,0.2
sensor_392,1,0.2
sensor_354,1,0.2
sensor_090,1,0.2
sensor_318,1,0.2
sensor_272,1,0.2
sensor_286,1,0.2
sensor_574,1,0.2
sensor_196,1,0.2
sensor_189,1,0.2
sensor_460,1,0.2
sensor_146,1,0.2
sensor_126,1,0.2
sensor_406,1,0.2
sensor_079,1,0.2
sensor_457,1,0.2
sensor_523,1,0.2
sensor_093,1,0.2
sensor_303,1,0.2
sensor_282,1,0.2
sensor_546,1,0.2
sensor_202,1,0.2
sensor_554,1,0.2
sensor_288,1,0.2
sensor_275,1,0.2
sensor_419,1,0.2
sensor_278,1,0.2
sensor_433,1,0.2
sensor_440,1,0.2
sensor_422,1,0.2
sensor_226,1,0.2
sensor_475,1,0.2
sensor_217,1,0.2
sensor_240,1,0.2
sensor_105,1,0.2
sensor_181,1,0.2
sensor_572,1,0.2
sensor_420,1,0.2
sensor_083,1,0.2
sensor_171,1,0.2
sensor_418,1,0.2
sensor_461,1,0.2
sensor_290,1,0.2
sensor_322,1,0.2
sensor_458,1,0.2
sensor_439,1,0.2
sensor_353,1,0.2
sensor_339,1,0.2
sensor_363,1,0.2
sensor_223,1,0.2
